characteristics,target,targetsd,comparator,comparatorsd,tag,isNa,targetsize,comparatorsize,typeofstatistics
Age mean,63.1,8.6,63.2,8.8,Demographics,,4687,2333,mean
Male no.,3336,,1680,,Demographics,Y,,,category
Race no.,0,,0,,Demographics,Y,,,category
Ethnicity no.,0,,0,,Demographics,Y,,,category
Region no.,0,,0,,Demographics,Y,,,category
Weight mean,86.2,18.9,86.6,19.1,Demographics,,,,mean
Body mass index mean,30.6,5.3,30.7,5.2,Demographics,,,,mean
Coronary artery disease,4657,,2307,,CV risk factor,,,,category
CV risk factor,3545,,1763,,CV risk factor,,,,category
Multi-vessel coronary artery disease,2179,,1100,,CV risk factor,,,,category
History of myocardial infarction,2190,,1083,,CV risk factor,,,,category
Coronary artery bypass graft,1175,,563,,CV risk factor,,,,category
History of stroke,1084,,553,,CV risk factor,,,,category
Peripheral artery disease ,982,,479,,CV risk factor,,,,category
Single vessel coronary artery disease‡,498,,238,,CV risk factor,,,,category
Cardiac failure,462,,244,,CV risk factor,,,,category
Glycated hemoglobin – %,8.07,0.85,8.08,0.84,Lab values,,,,mean
Time since diagnosis of type 2 diabetes – no. (%),0,,0,,Time since diagnosis of type 2 diabetes,Y,,,continuous
Metformin,3459,,1734,,Medication history,,,,category
Insulin,2252,,1135,,Medication history,,,,category
Insulin median daily dose - IU,0,,0,,Medication history,Y,,,continuous
Sulfonylurea ,2014,,992,,Medication history,,,,category
Dipeptidyl peptidase -4 inhibitor,529,,267,,Medication history,,,,category
Thiazolidinedione ,198,,101,,Medication history,,,,category
Glucagon -like peptide -1 agonist,126,,70,,Medication history,,,,category
Monotherapy,0,,0,,Medication history,Y,,,category
Dual therapy,0,,0,,Medication history,Y,,,category
Anti -hypertensive therapy – no. (%),4446,,2221,,Medication history,,,,category
ACEi or ARBs,3798,,1868,,Medication history,,,,category
Beta-blockers,3056,,1498,,Medication history,,,,category
Diuretics,2047,,988,,Medication history,,,,category
Calcium channel blockers,1529,,788,,Medication history,,,,category
Mineralocorticoid receptor antagonists,305,,136,,Medication history,,,,category
Renin inhibitors,27,,19,,Medication history,,,,category
Other,0,,0,,Medication history,Y,,,category
Lipid -lowering therapy – no. (%),3820,,1864,,Medication history,,,,category
Statins,3630,,1773,,Medication history,,,,category
Fibrates,431,,199,,Medication history,,,,category
Ezetimibe,189,,81,,Medication history,,,,category
Niacin,91,,35,,Medication history,,,,category
Other,0,,0,,Medication history,Y,,,category
Anti -coagulants – no. (%),4162,,2090,,Medication history,,,,category
Acetylsalicylic acid,3876,,1927,,Medication history,,,,category
Clopidogre,494,,249,,Medication history,,,,category
Vitamin K antagonists,266,,156,,Medication history,,,,category
Systolic blood pressure – mmHg,135.3,16.9,135.8,17.2,Lab values,,,,mean
Diastolic blood pressure – mmHg,76.6,9.7,76.8,10.1,Lab values,,,,mean
Total cholesterol – mg/dL,165.5,44.2,161.9,43.1,Lab values,,,,mean
Low density lipoprotein cholesterol – mg/dL,85.9,36,84.9,35.3,Lab values,,,,mean
High density lipoprotein cholesterol – mg/dL,44.6,11.9,44,11.3,Lab values,,,,mean
Triglycerides – mg/dL,170.5,129.7,170.7,121.2,Lab values,,,,mean
Estimated glomerular filtration rate – mL/min/1.73m2,74.2,21.6,73.8,21.1,Lab values,,,,mean
Estimated glomerular filtration rate ≥90 mL/min/1.73m2– no. (%),1050,,488,,Lab values,,,,category
Estimated glomerular filtration rate 60 to <90 mL/min/1.73m2– no. (%),2423,,1238,,Lab values,,,,category
Estimated glomerular filtration rate <60 mL/min/1.73m2– no. (%),1212,,607,,Lab values,,,,category
Urine albumin-to-creatinine ratio <30 mg/g – no. (%),2789,,1382,,Lab values,,,,category
Urine albumin-to-creatinine ratio 30 to 300 mg/g– no. (%),1338,,675,,Lab values,,,,category
Urine albumin-to-creatinine ratio >300mg/g – no. (%),509,,260,,Lab values,,,,category
