characteristics,target,targetsd,comparator,comparatorsd,tag,isNa,targetsize,comparatorsize,typeofstatistics
Age mean,63.2,8.3,63.4,8.2,Demographics,,5795,4347,mean
Female sex,2036,,1597,,Demographics,,,,category
Race,0,,0,,Demographics,Y,,,category
Current smoker,1020,,786,,Demographics,Y,,,category
History of hypertension,5188,,3937,,Medical history,,,,category
History of heart failure,803,,658,,Medical history,,,,category
Duration of diabetes,13.5,,13.7,,Duration of diabetes,Y,,,continuous
Retinopathy,1203,,926,,History of microvascular disease,,,,category
Nephropathy,994,,780,,History of microvascular disease,,,,category
Neuropathy,1787,,1323,,History of microvascular disease,,,,category
Coronary,3234,,2487,,History of atherosclerotic vascular disease,,,,category
Cerebrovascular,1113,,845,,History of atherosclerotic vascular disease,,,,category
Peripheral,1176,,937,,History of atherosclerotic vascular disease,,,,category
Any,4127,,3197,,History of atherosclerotic vascular disease,,,,category
History of cardiovascular disease,3756,,2900,,Medical history,,,,category
History of amputation,136,,102,,Medical history,,,,category
Body-mass index,31.9,5.9,32,6,Demographics,,,,mean
Blood pressure-systolic,136.4,15.8,136.9,15.8,Lab values,,,,mean
Blood pressure-diastolic,77.6,9.6,77.8,9.7,Lab values,,,,mean
Glycated hemoglobin — %,8.2,0.9,8.2,0.9,Lab values,,,,mean
Total cholesterol,4.4,1.1,4.4,1.2,Cholesterol — mmol/liter,,,,mean
HDL,1.2,0.3,1.2,0.3,Cholesterol — mmol/liter,,,,mean
LDL,2.3,0.9,2.3,0.9,Cholesterol — mmol/liter,,,,mean
Ratio of LDL to HDl,2,0.9,2,0.9,Cholesterol — mmol/liter,Y,,,continuous
Triglycerides — mmol/liter ,2,1.3,2,1.5,Lab values,,,,mean
eGFR — ml/min/1.73 m²,76.7,20.3,76.2,20.8,Lab values,,,,mean
Median albumin-to-creatinine ratio ,12.4,,12.1,,Albumin measurements,,,,median
Normoalbuminuria — no.,4012,,2995,,Albumin measurements,,,,category
Microalbuminuria — no.,1322,,944,,Albumin measurements,,,,category
Macroalbuminuria — no.,406,,354,,Albumin measurements,,,,category
