characteristics,target,targetsd,comparator,comparatorsd,tag,isNa,targetsize,comparatorsize,typeofstatistics
Age mean,66.1,9.1,65.6,9.1,Demographics,,3494,3485,mean
Sex male,2148,,2242,,Demographics,,,,category
Sex female,1346,,1243,,Demographics,,,,category
Race,0,,0,,Demographics,Y,,,category
Region,0,,0,,Demographics,Y,,,category
Smoking status,0,,0,,Demographics,Y,,,category
History of heart failure,952,,921,,Medical history,,,,category
Ischemic heart disease,2029,,2052,,Medical history,,,,category
History of hypertension,3171,,3178,,Medical history,,,,category
Atrial fibrillation,319,,354,,Medical history,,,,category
"eGFR (MDRD), ML/min/1.73m2 mean",54.7,25.1,54.5,24.9,Lab values,,,,mean
eGFR (MDRD) >= 90,363,,365,,Lab values,,,,category
eGFR (MDRD) >= 60,1294,,1337,,Lab values,,,,category
eGFR (MDRD) >= 45 to <60,690,,658,,Lab values,,,,category
eGFR (MDRD) >= 30 to <45,994,,944,,Lab values,,,,category
eGFR (MDRD) < 60,516,,546,,Lab values,,,,category
"UACR, median, mg/g",162,,162,,Lab values,,,,median
No. (%)c <30,696,,696,,Lab values,,,,category
No. (%)c 30-300,1463,,1431,,Lab values,,,,category
No. (%)c > 300,1333,,1357,,Lab values,,,,category
Body mass index,31.4,5.3,31.3,5.4,Demographics,,,,mean
Hemoglobin A1c,7.9,1,8,1,Lab values,,,,mean
"Fasting plasma glucose, mg/dL",151.2,45,151.2,45,Lab values,,,,mean
"Diabetes duration, y",15,9.6,14.5,9.3,Diabetes duration,Y,,,continuous
"Systolic blood pressure, mm Hg",140.4,17.7,140.6,18,Lab values,,,,mean
"Diastolic blood pressure, mm Hg",77.8,10.5,77.9,10.4,Lab values,,,,mean
"Heart rate, /min",69.8,12.2,69.8,12.3,Lab values,,,,mean
"Total cholesterol, mg/dL",173,49,171,47,Lab values,,,,mean
"Low-density lipoprotein cholesterol, mg/dL",92,40,9,39,Lab values,,,,mean
"High-density lipoprotein cholesterol, mg/dL",45,13,44,13,Lab values,,,,mean
"Triglycerides, mg/dL",190,136,187,130,Lab values,,,,mean
"≥1 Glucose-lowering medication, No. (%) ",3378,,3376,,Glucose-lowering medication,,,,category
Metformin,1881,,1927,,Glucose-lowering medication,,,,category
Sulfonylurea,1102,,1140,,Glucose-lowering medication,,,,category
Insulin,2056,,1995,,Glucose-lowering medication,,,,category
"No. of background glucose-lowering therapies, No. (%)",0,,0,,Background glucose-lowering therapies,Y,,,category
"≥1 Antihypertensive medication, No. (%)",3337,,3354,,Antihypertensive medication,,,,category
ACE inhibitors or ARBs,2860,,2798,,Antihypertensive medication,,,,category
Beta-blockers,2080,,2073,,Antihypertensive medication,,,,category
Diuretics,1892,,1936,,Antihypertensive medication,,,,category
Calcium antagonists,1433,,1446,,Antihypertensive medication,,,,category
Aspirin,2166,,2178,,Medication history,,,,category
Statin,2495,,2523,,Medication history,,,,category
